case_id,protein_id,selection_id,expected_class,method,R_model_kcal_mol,decision,outcome
bbl57595.1-pqq-la_model__conditioned_La__seed-1_sample-1,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,released_static,-405495.3364744383,Ca-supported,correct
bbl57595.1-pqq-la_model__conditioned_La__seed-1_sample-1,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,tenfold_precision,-405477.390802208,Ca-supported,correct
bbl57595.1-pqq-la_model__conditioned_La__seed-1_sample-1,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,tenfold_strict,-405482.07010661816,Ca-supported,correct
bbl57595.1-pqq-la_model__conditioned_La__seed-1_sample-3,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,envelope_mathematical,-405484.47424014343,Ca-supported,correct
bbl57595.1-pqq-la_model__conditioned_La__seed-1_sample-3,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,envelope_operational,-405484.47424014343,Ca-supported,correct
bbl57595.1-pqq-la_model__conditioned_La__seed-1_sample-3,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,envelope_origin,-405494.47702370014,Ca-supported,correct
bbl57595.1-pqq-la_model__conditioned_La__seed-1_sample-3,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,released_static,-405492.96858367196,Ca-supported,correct
bbl57595.1-pqq-la_model__conditioned_La__seed-1_sample-3,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,tenfold_precision,-405482.64081090555,Ca-supported,correct
bbl57595.1-pqq-la_model__conditioned_La__seed-1_sample-3,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,tenfold_strict,-405482.64118324145,Ca-supported,correct
bbl57595.1-pqq-la_model__conditioned_La__seed-1_sample-4,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,envelope_mathematical,-405485.78748238256,Ca-supported,correct
bbl57595.1-pqq-la_model__conditioned_La__seed-1_sample-4,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,envelope_operational,-405485.78748238256,Ca-supported,correct
bbl57595.1-pqq-la_model__conditioned_La__seed-1_sample-4,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,envelope_origin,-405494.4448147295,Ca-supported,correct
bbl57595.1-pqq-la_model__conditioned_La__seed-1_sample-4,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,released_static,-405492.6309236791,Ca-supported,correct
bbl57595.1-pqq-la_model__conditioned_La__seed-1_sample-4,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,tenfold_precision,-405483.62739292445,Ca-supported,correct
bbl57595.1-pqq-la_model__conditioned_La__seed-1_sample-4,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,tenfold_strict,-405483.6287335583,Ca-supported,correct
c5atj3-pqq-la_model__conditioned_La__seed-1_sample-0,c5atj3-pqq-la_model,c5atj3-pqq-la_model__envelope_531a4a67d5ba9360,La,envelope_mathematical,-405435.9417208932,La-supported,correct
c5atj3-pqq-la_model__conditioned_La__seed-1_sample-0,c5atj3-pqq-la_model,c5atj3-pqq-la_model__envelope_531a4a67d5ba9360,La,envelope_operational,-405435.9417208932,La-supported,correct
c5atj3-pqq-la_model__conditioned_La__seed-1_sample-0,c5atj3-pqq-la_model,c5atj3-pqq-la_model__envelope_531a4a67d5ba9360,La,envelope_origin,-405438.7429294598,La-supported,correct
c5atj3-pqq-la_model__conditioned_La__seed-1_sample-0,c5atj3-pqq-la_model,c5atj3-pqq-la_model__envelope_531a4a67d5ba9360,La,released_static,-405438.5586343447,La-supported,correct
